#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
17.3%,519000,740954.5365882888,96430.01635533187,120.16707503913251,2.79
17.3%,520000,740421.4893551543,96191.86994606798,119.8703068904384,2.8
17.4%,521000,740382.1515737996,96113.59554403952,119.7727645867273,2.81
17.4%,522000,740014.1582927406,96174.35729830617,119.84848335729731,2.82
17.4%,523000,740040.7945771385,95402.71846475103,118.88689914192967,2.83
17.5%,524000,739469.2267820798,96059.18345754333,119.7049585079963,2.84
17.5%,525000,739204.1826195065,95258.95849281634,118.70775144510213,2.85
17.5%,526000,739155.0717025977,95995.8996598931,119.62609687187486,2.86
17.6%,527000,739509.969923757,96094.14119922002,119.74852139148457,2.87
17.6%,528000,738911.9076912589,95964.7741989903,119.58730961726992,2.89
17.6%,529000,738691.6028973144,95518.67280258765,119.03139661421653,2.9
17.7%,530000,738142.0568501297,95702.84269010287,119.26090146684915,2.91
17.7%,531000,738004.5121353585,96203.39405453716,119.88466775502721,2.92
17.7%,532000,738131.5332557391,95851.43575831041,119.44607196720241,2.93
17.8%,533000,738024.361419078,95820.16346736683,119.40710173910854,2.94
17.8%,534000,737916.0205690209,95397.60705416891,118.88052951468919,2.95
17.8%,535000,737428.9907101337,95851.64438883311,119.44633195388109,2.96
17.9%,536000,737940.4483209588,95601.7559926842,119.13493142957977,2.97
17.9%,537000,737869.8459428176,96377.39828675924,120.10150459090939,2.98
17.9%,538000,737828.9037646037,95923.92646921116,119.53640687562296,2.99
18.0%,539000,737424.4571381826,95801.79798405271,119.38421543777883,3
18.0%,540000,736758.3880436886,96123.17829379102,119.78470621083973,3.01
18.0%,541000,735977.1587064713,96877.2397621003,120.7243862448298,3.02
18.1%,542000,736507.3137993123,95647.70837711703,119.19219537951024,3.03
18.1%,543000,736272.1582675371,95920.68629038078,119.53236909955108,3.04
18.1%,544000,736472.1079609524,95807.6565805428,119.39151617701602,3.05
18.2%,545000,735780.1387799401,95968.7517243178,119.59226624387401,3.07
18.2%,546000,735883.0761039946,96049.48291069688,119.69287009004432,3.08
18.2%,547000,735890.9681325033,95783.88899084742,119.36189799543344,3.09
18.3%,548000,735805.882890312,95599.2468573642,119.13180464952022,3.1
18.3%,549000,735286.2512248792,96058.57217435224,119.70419675231201,3.11
18.3%,550000,735691.9345123917,96018.75725968613,119.65458106189536,3.12
18.4%,551000,735255.2982130684,95917.38589867429,119.52825628869775,3.13
18.4%,552000,734882.6374778282,95523.80590388285,119.03779327152137,3.14
18.4%,553000,734683.9254109561,96308.66953780115,120.01585768296987,3.15
18.5%,554000,734841.5880241152,96180.46745910229,119.85609758550798,3.16
18.5%,555000,734726.7478977013,96327.01333083937,120.03871695478004,3.17
18.5%,556000,734497.3360543754,96178.53357348277,119.85368765769564,3.18
18.6%,557000,734143.7153055016,96366.5339405839,120.08796589464606,3.19
18.6%,558000,734265.1401322111,96413.91898658968,120.1470151678322,3.2
18.6%,559000,734021.7522611748,96337.32500600736,120.05156693542429,3.21
18.7%,560000,733671.2952829171,96165.93397858931,119.83798656666352,3.23
18.7%,561000,733133.096181931,96120.96730777892,119.78195097204512,3.24
18.7%,562000,733831.069601791,96341.34348064565,120.05657459135607,3.25
18.8%,563000,733262.7184736282,96508.7612784481,120.26520368665021,3.26
18.8%,564000,733511.1082319077,96586.57589356953,120.3621730230442,3.27
18.8%,565000,733297.6232211888,96070.83674231597,119.71948034672091,3.28
18.9%,566000,733392.3324415907,95842.09478447447,119.43443163417844,3.29
18.9%,567000,733125.4897963759,95888.67275631109,119.49247516510803,3.3
18.9%,568000,733181.1332534552,96068.04978893531,119.716007361351,3.31
19.0%,569000,733458.3457528353,96076.29826182252,119.72628626513904,3.32
19.0%,570000,733075.6230568793,96667.77214044688,120.46335640826165,3.33
19.0%,571000,733196.5822982825,96389.34340921187,120.11639010561083,3.34
19.1%,572000,733212.7146618608,96468.51221512764,120.21504697824044,3.35
19.1%,573000,732670.6781318095,96260.02785061413,119.95524243581804,3.36
19.1%,574000,732703.7806855887,96196.2669970523,119.87578631246438,3.38
19.2%,575000,732498.6385897025,95868.25746356416,119.46703447653213,3.39
19.2%,576000,732480.4987623747,95612.78900994561,119.1486803167341,3.4
19.2%,577000,732307.9633340798,96258.09140464058,119.95282931739904,3.41
19.3%,578000,732226.2763350531,96284.5440679621,119.9857935260395,3.42
19.3%,579000,732280.6911372188,95596.9864147345,119.1289877799461,3.43
19.3%,580000,732049.8906116411,95911.45844336673,119.52086974046665,3.44
19.4%,581000,732275.2027158327,96151.47021390266,119.81996242478176,3.45
19.4%,582000,732522.2708055768,95774.97425348265,119.35078882056905,3.46
19.4%,583000,732359.993807368,96281.06023439683,119.98145211757267,3.47
19.5%,584000,732201.1984750535,96299.56665094983,120.00451404404207,3.48
19.5%,585000,732220.4768813346,96192.98334396927,119.87169436058733,3.49
19.5%,586000,732447.2592570167,96076.18821985753,119.72614913541985,3.5
19.6%,587000,731867.8730264138,95809.9237212467,119.3943413934516,3.51
19.6%,588000,731871.0692279115,96136.79651851006,119.80167667598704,3.53
19.6%,589000,731737.8605522104,95897.12152911037,119.50300367431434,3.54
19.7%,590000,731602.9695044477,95920.16491848501,119.53171938758285,3.55
19.7%,591000,731039.3644372895,95697.51934927593,119.25426774095354,3.56
19.7%,592000,731352.9941956494,95650.26217613582,119.19537781761329,3.57
19.8%,593000,731689.5800393336,95405.47982683004,118.89034023648405,3.58
19.8%,594000,731552.7352192979,96075.05014882845,119.72473091864543,3.59
19.8%,595000,731242.9980201069,96228.0953882426,119.91544952955279,3.6
19.9%,596000,731201.7282792442,96338.33759418697,120.05282878069158,3.61
19.9%,597000,731473.5521191135,96217.00268278876,119.90162626145599,3.62
19.9%,598000,730937.7052470371,96651.07293761568,120.442546556355,3.63
20.0%,599000,730642.425520666,96515.99365307199,120.27421637105066,3.64
20.0%,600000,730527.3614147622,96222.53115510434,119.90851561367958,3.65
20.0%,601000,730700.1001961865,95811.36924797588,119.39614274872977,3.66
20.1%,602000,730588.7454232909,95648.25302895943,119.19287410197956,3.68
20.1%,603000,730875.8473350424,96159.1653488573,119.82955178185627,3.69
20.1%,604000,730730.1348009408,95693.41615745373,119.24915451399129,3.7
20.2%,605000,730718.7533216439,96198.35610561556,119.87838967265218,3.71
20.2%,606000,730727.2479671258,96050.71385342948,119.69440403967234,3.72
20.2%,607000,730722.7162426766,96069.85589376358,119.71825805405676,3.73
20.3%,608000,730587.2160920296,95899.48863396437,119.50595346191541,3.74
20.3%,609000,730275.1852610558,95844.00115442355,119.43680727310688,3.75
20.3%,610000,730449.3307337463,95927.4131057541,119.54075177704394,3.76
20.4%,611000,730422.8264648989,96046.65245271867,119.68934289105465,3.77
20.4%,612000,729779.9865620025,96359.14399631668,120.07875685351075,3.78
20.4%,613000,730386.2960475311,96027.9281373178,119.6660094281053,3.79
20.5%,614000,730142.2409313861,95848.5159590094,119.44243343477272,3.8
20.5%,615000,729896.1940090004,95668.00003376367,119.21748199792107,3.82
20.5%,616000,729687.7177384216,96181.3038074762,119.85713980806072,3.83
20.6%,617000,730083.8133465964,95538.15534384188,119.0556749466833,3.84
20.6%,618000,730075.7754069474,96028.24255870255,119.66640124695552,3.85
20.6%,619000,730193.3519849293,96388.89890731756,120.11583618584075,3.86
20.7%,620000,730138.3578846138,96317.44883817481,120.0267980818899,3.87
20.7%,621000,729780.9286744352,96012.37575231571,119.6466286928714,3.88
20.7%,622000,729879.7769904509,95893.61854728565,119.49863840408311,3.89
20.8%,623000,729850.1848336551,95865.44607593823,119.46353104222217,3.9
20.8%,624000,729875.3756957185,95953.3967800533,119.57313155107406,3.91
20.8%,625000,729934.2269536573,96046.17572597647,119.68874881401965,3.92
20.9%,626000,729687.7911336366,96530.31527600114,120.2920633817871,3.93
20.9%,627000,729632.7019459791,96318.50590635379,120.0281153562821,3.94
20.9%,628000,730058.397337189,96075.3549794349,119.7251107858667,3.95
21.0%,629000,729466.3814287744,95889.45391519509,119.49344861281425,3.97
21.0%,630000,729294.1816998906,96129.93579234672,119.79312712443813,3.98
21.0%,631000,728875.8905292712,95773.61344478812,119.34909303738151,3.99
21.1%,632000,729206.1679845322,96078.77876915502,119.72937737019144,4
21.1%,633000,729452.6398243308,96413.08806659552,120.14597970990049,4.01
21.1%,634000,729563.2143967077,95788.43237908953,119.36755977686266,4.02
21.2%,635000,728878.7441795301,96068.28799660195,119.7163042058361,4.03
21.2%,636000,729198.7376424335,95961.41527195333,119.58312386212273,4.04
21.2%,637000,729045.2166423295,96151.62469962417,119.82015493846153,4.05
21.3%,638000,728872.8392196819,96157.16177551606,119.82705501210401,4.06
21.3%,639000,728834.0599743202,96511.23868909478,120.26829093274156,4.07
21.3%,640000,729055.4165334124,96441.82229231928,120.1817871066971,4.08
21.4%,641000,728963.880220199,96377.1379133476,120.10118012439494,4.09
21.4%,642000,729386.8561142962,95427.81449964418,118.91817277665642,4.1
21.4%,643000,728622.9543338642,96225.59134910852,119.91232910014816,4.12
21.5%,644000,728648.1337660383,96025.59646691087,119.66310379743814,4.13
21.5%,645000,728397.1706425343,96184.2187737107,119.86077231772396,4.14
21.5%,646000,728250.7529372703,95767.77201228226,119.34181368718748,4.15
21.6%,647000,728680.9307030886,95860.64476034619,119.45754784245884,4.16
21.6%,648000,728173.9740360975,96367.62773360562,120.08932893400959,4.17
21.6%,649000,728454.4432371147,96402.70312850244,120.13303843204662,4.18
21.7%,650000,728488.4625706952,96649.50819207917,120.44059663555845,4.19
21.7%,651000,728573.6208018698,96002.46873488282,119.63428297986347,4.2
21.7%,652000,728653.6334356293,96476.7118860291,120.22526506702391,4.21
21.8%,653000,728651.9253817108,96359.55854443373,120.07927344612965,4.22
21.8%,654000,728906.3740967084,95831.07372510635,119.42069764845331,4.23
21.8%,655000,728482.5714624822,96159.63836706404,119.83014123746864,4.24
21.9%,656000,728536.7944678366,96072.08982208822,119.7210418826069,4.25
21.9%,657000,728529.920350099,95973.81694248001,119.59857830804233,4.26
21.9%,658000,728371.9184794091,96093.43851689686,119.74764573800398,4.28
22.0%,659000,728198.4515970517,95660.64850593245,119.20832082975024,4.29
22.0%,660000,728158.3295929097,96222.858891098,119.90892402464156,4.3
22.0%,661000,727938.935244713,96341.6824563014,120.05699700871737,4.31
22.1%,662000,728202.3249334637,95971.58313068362,119.59579462470488,4.32
22.1%,663000,728208.8181394786,96243.01152064462,119.93403739326364,4.33
22.1%,664000,727872.3509179242,96194.68529013084,119.8738152550955,4.34
22.2%,665000,727371.8538837582,96348.0712888207,120.06495850603717,4.35
22.2%,666000,728408.3915601671,96029.43419056915,119.6678862090176,4.36
22.2%,667000,728293.9596950691,96185.02139621787,119.86177251250452,4.37
22.3%,668000,728152.7954085115,96358.28222178688,120.07768294594024,4.38
22.3%,669000,727671.6042029504,96100.09882329906,119.75594553478373,4.39
22.3%,670000,727696.1178297382,95707.49347107508,119.26669707663126,4.4
22.4%,671000,727848.7689902168,95953.10176122715,119.57276391088526,4.41
22.4%,672000,727878.1000969894,95891.22132634517,119.49565108706784,4.42
22.4%,673000,728127.0780191831,95857.96079622296,119.45420319801732,4.43
22.5%,674000,728363.3524046559,95601.10627859176,119.1341217829049,4.45
22.5%,675000,728162.5798228271,96047.05575244782,119.68984546640046,4.46
22.5%,676000,728122.333306009,95992.72713448244,119.62214340268038,4.47
22.6%,677000,727919.6885540746,95778.96977760782,119.35576787652607,4.48
22.6%,678000,727614.4995655492,96109.26155974077,119.76736375578142,4.49
22.6%,679000,727574.4023761265,95861.04855291617,119.45805103196238,4.5
22.7%,680000,727242.4275550283,96291.66145763072,119.99466292097189,4.51
22.7%,681000,727476.3695224393,96194.63297620017,119.87375006365127,4.52
22.7%,682000,727366.9364082459,95840.38788060797,119.43230456158464,4.53
