step	bond_idx	atom_i	atom_j	S(t)
89000	1758	475	334	0.2219
90000	1499	1542	1672	0.2203
91000	1267	1753	1754	0.2138
91000	1439	289	279	0.2138
91000	1707	1768	1776	0.2138
91000	1782	1262	1261	0.2138
92000	1657	111	101	0.2122
94000	1726	1057	1058	0.2090
94000	1863	1777	1778	0.2090
95000	1745	105	104	0.2074
96000	1404	926	925	0.2042
96000	1551	646	658	0.2042
97000	1737	1229	1375	0.2010
97000	1842	1445	1457	0.2010
98000	1557	1587	1600	0.1994
99000	1576	127	116	0.1961
99000	1598	813	812	0.1961
100000	1384	807	806	0.1929
100000	1686	1291	1440	0.1929
101000	1475	1566	1567	0.1865
101000	1493	1260	1250	0.1865
101000	1701	949	955	0.1865
101000	1753	1365	1510	0.1865
102000	1393	680	524	0.1849
103000	1840	1445	1435	0.1833
104000	1611	247	395	0.1817
106000	1334	600	592	0.1768
106000	1680	929	919	0.1768
106000	1824	1488	1333	0.1768
107000	1457	1193	1331	0.1752
111000	1337	965	1086	0.1704
111000	1428	1412	1420	0.1704
111000	1814	335	476	0.1704
112000	1533	464	470	0.1688
113000	1592	618	628	0.1672
114000	1395	680	681	0.1624
114000	1593	332	338	0.1624
114000	1718	1621	1625	0.1624
115000	1314	165	176	0.1576
115000	1352	191	190	0.1576
115000	1843	1359	1370	0.1576
116000	1350	947	946	0.1527
116000	1813	449	458	0.1527
116000	1868	1796	1795	0.1527
119000	1308	1096	1083	0.1479
119000	1825	1440	1576	0.1479
119000	1838	1241	1395	0.1479
121000	1414	793	792	0.1447
121000	1435	49	50	0.1447
122000	1578	71	82	0.1431
123000	1390	239	240	0.1415
124000	1589	119	282	0.1399
125000	1728	254	400	0.1383
126000	1358	721	711	0.1350
126000	1401	598	607	0.1350
127000	1391	680	669	0.1318
127000	1694	341	484	0.1318
128000	1421	1743	1734	0.1302
129000	1487	1130	1005	0.1254
129000	1601	836	835	0.1254
129000	1628	1582	1570	0.1254
130000	1442	465	464	0.1238
131000	1644	1545	1546	0.1222
133000	1376	160	151	0.1206
134000	1306	255	254	0.1190
135000	1666	347	348	0.1174
136000	1431	1816	1687	0.1158
137000	1674	1252	1262	0.1141
139000	1691	1399	1388	0.1125
140000	1716	1283	1294	0.1093
140000	1823	216	228	0.1093
141000	1748	1104	1112	0.1061
141000	1847	1650	1777	0.1061
142000	1264	1304	1294	0.1013
142000	1378	381	370	0.1013
142000	1877	1795	1785	0.1013
143000	1636	1665	1666	0.0997
144000	1638	1663	1654	0.0965
144000	1874	476	469	0.0965
145000	1389	397	250	0.0932
145000	1791	1732	1733	0.0932
147000	1637	1782	1794	0.0916
149000	1527	1362	1353	0.0900
150000	1458	1472	1471	0.0884
152000	1463	1462	1307	0.0852
152000	1881	1185	1186	0.0852
153000	1688	782	654	0.0820
153000	1871	135	134	0.0820
156000	1290	214	363	0.0772
156000	1346	1429	1440	0.0772
156000	1531	1689	1680	0.0772
158000	1278	441	440	0.0756
160000	1820	1345	1344	0.0740
162000	1367	157	17	0.0707
162000	1567	886	876	0.0707
164000	1275	540	541	0.0691
165000	1419	1619	1624	0.0659
165000	1525	1362	1363	0.0659
169000	1494	402	401	0.0643
170000	1405	1051	1050	0.0627
174000	1349	1060	1059	0.0611
175000	1676	1516	1506	0.0595
179000	1482	1586	1587	0.0579
180000	1316	1465	1311	0.0547
180000	1846	1529	1650	0.0547
182000	1287	1408	1416	0.0531
184000	1640	291	292	0.0514
185000	1461	1319	1307	0.0498
187000	1711	1699	1700	0.0482
190000	1542	1583	1701	0.0466
193000	1779	121	129	0.0450
196000	1717	1138	1146	0.0434
197000	1690	73	74	0.0418
203000	1799	1209	1349	0.0402
204000	1433	91	90	0.0386
206000	1517	911	780	0.0370
208000	1549	541	542	0.0305
208000	1606	1034	1044	0.0305
208000	1816	303	304	0.0305
208000	1828	1196	1197	0.0305
213000	1696	364	374	0.0289
214000	1692	1532	1399	0.0257
214000	1879	503	491	0.0257
216000	1609	247	94	0.0241
231000	1702	949	956	0.0225
238000	1844	1359	1348	0.0209
247000	1372	33	42	0.0193
252000	1406	156	166	0.0177
265000	1613	518	517	0.0161
272000	1297	1306	1460	0.0145
275000	1430	1557	1545	0.0129
285000	1882	1775	1774	0.0113
296000	1454	533	532	0.0096
301000	1269	1753	1752	0.0080
302000	1764	40	32	0.0064
303000	1441	613	612	0.0048
312000	1400	598	453	0.0032
316000	1526	1354	1502	0.0016
477000	1293	226	73	0.0000
